begin HEADER
  File_Creation        = "2009-11-10T23:04:33"
  File_ID              = "GOSAT Noise for Pol: S, Gain: M. Example only, real values vary with scene"
  Labels               = "COLOR_1" "CNV_COEF_1" "COLOR_2" "CNV_COEF_2" "COLOR_3" "CNV_COEF_3"
  Num_Columns          = 6
  Num_Rows             = 3508
  band_noise_values    = 2.510131e-01 1.085544e-01 1.214302e-01
  source_acos_l1b_file = /test/gds/system_test/B2.05.01/l1b/acos_L1b_090724_01_Production090929_091019194551t.hdf
  source_sounding_id   = 20090724012908
end HEADER

#         COLOR_1       CNV_COEF_1          COLOR_2       CNV_COEF_2          COLOR_3       CNV_COEF_3
   1.00000000e+00   4.82447255e-08   1.00000000e+00   4.90899339e-08   1.00000000e+00   2.47024605e-08
   2.00000000e+00   4.81918896e-08   2.00000000e+00   4.90665357e-08   2.00000000e+00   2.46648995e-08
   3.00000000e+00   4.81584550e-08   3.00000000e+00   4.89440772e-08   3.00000000e+00   2.46373304e-08
   4.00000000e+00   4.81231375e-08   4.00000000e+00   4.88085199e-08   4.00000000e+00   2.46242831e-08
   5.00000000e+00   4.80788493e-08   5.00000000e+00   4.87213327e-08   5.00000000e+00   2.46043363e-08
   6.00000000e+00   4.80345577e-08   6.00000000e+00   4.87017218e-08   6.00000000e+00   2.45855354e-08
   7.00000000e+00   4.79810858e-08   7.00000000e+00   4.87428231e-08   7.00000000e+00   2.45678144e-08
   8.00000000e+00   4.79230238e-08   8.00000000e+00   4.88464629e-08   8.00000000e+00   2.45480756e-08
   9.00000000e+00   4.78622191e-08   9.00000000e+00   4.88923639e-08   9.00000000e+00   2.45321861e-08
   1.00000000e+01   4.77870792e-08   1.00000000e+01   4.89353091e-08   1.00000000e+01   2.45131702e-08
   1.10000000e+01   4.77119357e-08   1.10000000e+01   4.89038783e-08   1.10000000e+01   2.45120280e-08
   1.20000000e+01   4.76226134e-08   1.20000000e+01   4.88037308e-08   1.20000000e+01   2.45055993e-08
   1.30000000e+01   4.75257913e-08   1.30000000e+01   4.86764051e-08   1.30000000e+01   2.44904044e-08
   1.40000000e+01   4.74357478e-08   1.40000000e+01   4.85716676e-08   1.40000000e+01   2.44763161e-08
   1.50000000e+01   4.73847948e-08   1.50000000e+01   4.85563945e-08   1.50000000e+01   2.44625884e-08
   1.60000000e+01   4.73338417e-08   1.60000000e+01   4.85623346e-08   1.60000000e+01   2.44488607e-08
   1.70000000e+01   4.72995474e-08   1.70000000e+01   4.86340817e-08   1.70000000e+01   2.44365648e-08
   1.80000000e+01   4.72745647e-08   1.80000000e+01   4.87311134e-08   1.80000000e+01   2.44122269e-08
   1.90000000e+01   4.72453472e-08   1.90000000e+01   4.87464717e-08   1.90000000e+01   2.44196556e-08
   2.00000000e+01   4.71889905e-08   2.00000000e+01   4.87301257e-08   2.00000000e+01   2.44249758e-08
   2.10000000e+01   4.71326338e-08   2.10000000e+01   4.86293352e-08   2.10000000e+01   2.44144172e-08
   2.20000000e+01   4.70802028e-08   2.20000000e+01   4.85183342e-08   2.20000000e+01   2.44044642e-08
   2.30000000e+01   4.70300847e-08   2.30000000e+01   4.84102358e-08   2.30000000e+01   2.43996787e-08
   2.40000000e+01   4.69799311e-08   2.40000000e+01   4.83781371e-08   2.40000000e+01   2.43938132e-08
   2.50000000e+01   4.69295216e-08   2.50000000e+01   4.83743285e-08   2.50000000e+01   2.43852654e-08
   2.60000000e+01   4.68791121e-08   2.60000000e+01   4.84287703e-08   2.60000000e+01   2.43861873e-08
   2.70000000e+01   4.68251038e-08   2.70000000e+01   4.85533498e-08   2.70000000e+01   2.43844873e-08
   2.80000000e+01   4.67688608e-08   2.80000000e+01   4.85903229e-08   2.80000000e+01   2.43773997e-08
   2.90000000e+01   4.67110191e-08   2.90000000e+01   4.86000786e-08   2.90000000e+01   2.43776199e-08
   3.00000000e+01   4.66402454e-08   3.00000000e+01   4.85191762e-08   3.00000000e+01   2.43761296e-08
   3.10000000e+01   4.65694683e-08   3.10000000e+01   4.83847984e-08   3.10000000e+01   2.43706015e-08
   3.20000000e+01   4.65320724e-08   3.20000000e+01   4.84501257e-08   3.20000000e+01   2.43655762e-08
   3.30000000e+01   4.65166288e-08   3.30000000e+01   4.84231393e-08   3.30000000e+01   2.43659493e-08
   3.40000000e+01   4.64962540e-08   3.40000000e+01   4.82524491e-08   3.40000000e+01   2.43648781e-08
   3.50000000e+01   4.64299745e-08   3.50000000e+01   4.84903033e-08   3.50000000e+01   2.43632527e-08
   3.60000000e+01   4.63636916e-08   3.60000000e+01   4.85136091e-08   3.60000000e+01   2.43611229e-08
   3.70000000e+01   4.63335006e-08   3.70000000e+01   4.84552665e-08   3.70000000e+01   2.43586697e-08
   3.80000000e+01   4.63283314e-08   3.80000000e+01   4.84553908e-08   3.80000000e+01   2.43582701e-08
   3.90000000e+01   4.63180960e-08   3.90000000e+01   4.83565437e-08   3.90000000e+01   2.43565115e-08
   4.00000000e+01   4.62527083e-08   4.00000000e+01   4.82177178e-08   4.00000000e+01   2.43534721e-08
   4.10000000e+01   4.61873242e-08   4.10000000e+01   4.81200146e-08   4.10000000e+01   2.43531844e-08
   4.20000000e+01   4.61336391e-08   4.20000000e+01   4.80743587e-08   4.20000000e+01   2.43524418e-08
   4.30000000e+01   4.60885055e-08   4.30000000e+01   4.80507119e-08   4.30000000e+01   2.43515181e-08
   4.40000000e+01   4.60432972e-08   4.40000000e+01   4.82194977e-08   4.40000000e+01   2.43504541e-08
   4.50000000e+01   4.59971403e-08   4.50000000e+01   4.84447078e-08   4.50000000e+01   2.43494007e-08
   4.60000000e+01   4.59509835e-08   4.60000000e+01   4.83646545e-08   4.60000000e+01   2.43487364e-08
   4.70000000e+01   4.59206646e-08   4.70000000e+01   4.82806293e-08   4.70000000e+01   2.43472886e-08
   4.80000000e+01   4.59025280e-08   4.80000000e+01   4.82300813e-08   4.80000000e+01   2.43463703e-08
   4.90000000e+01   4.58834428e-08   4.90000000e+01   4.80894009e-08   4.90000000e+01   2.43457094e-08
   5.00000000e+01   4.58491591e-08   5.00000000e+01   4.79891717e-08   5.00000000e+01   2.43447555e-08
   5.10000000e+01   4.58148754e-08   5.10000000e+01   4.78898698e-08   5.10000000e+01   2.43438745e-08
   5.20000000e+01   4.57947067e-08   5.20000000e+01   4.79706515e-08   5.20000000e+01   2.43429614e-08
   5.30000000e+01   4.57859741e-08   5.30000000e+01   4.81894666e-08   5.30000000e+01   2.43420999e-08
   5.40000000e+01   4.57746125e-08   5.40000000e+01   4.81005209e-08   5.40000000e+01   2.43411371e-08
   5.50000000e+01   4.57088483e-08   5.50000000e+01   4.81291309e-08   5.50000000e+01   2.43401583e-08
   5.60000000e+01   4.56430804e-08   5.60000000e+01   4.81286797e-08   5.60000000e+01   2.43391884e-08
   5.70000000e+01   4.55966216e-08   5.70000000e+01   4.80765223e-08   5.70000000e+01   2.43387621e-08
   5.80000000e+01   4.55666225e-08   5.80000000e+01   4.79406808e-08   5.80000000e+01   2.43377247e-08
   5.90000000e+01   4.55365097e-08   5.90000000e+01   4.78330868e-08   5.90000000e+01   2.43369200e-08
   6.00000000e+01   4.55030928e-08   6.00000000e+01   4.77535025e-08   6.00000000e+01   2.43360319e-08
   6.10000000e+01   4.54696760e-08   6.10000000e+01   4.77320583e-08   6.10000000e+01   2.43344829e-08
   6.20000000e+01   4.54348417e-08   6.20000000e+01   4.77474700e-08   6.20000000e+01   2.43335023e-08
