begin HEADER
  File_Creation = "2009-05-26T19:32:48 UTC"
  File_ID       = "GOSAT TANSO FTS Conversion Factors"
  Labels        = "Wavenumber" "CNV(B2P_gainH)" "CNV(B2S_gainH)" "CNV(B2P_gainM)" "CNV(B2S_gainM)"
  Num_Columns   = 5
  Num_Rows      = 8001
end HEADER

#      Wavenumber   CNV(B2P_gainH)   CNV(B2S_gainH)   CNV(B2P_gainM)   CNV(B2S_gainM)
   5.30019150e+03              N/A              N/A              N/A              N/A
   5.30039150e+03              N/A              N/A              N/A              N/A
   5.30059150e+03              N/A              N/A              N/A              N/A
   5.30079150e+03              N/A              N/A              N/A              N/A
   5.30099150e+03              N/A              N/A              N/A              N/A
   5.30119150e+03              N/A              N/A              N/A              N/A
   5.30139150e+03              N/A              N/A              N/A              N/A
   5.30159150e+03              N/A              N/A              N/A              N/A
   5.30179150e+03              N/A              N/A              N/A              N/A
   5.30199150e+03              N/A              N/A              N/A              N/A
   5.30219150e+03              N/A              N/A              N/A              N/A
   5.30239150e+03              N/A              N/A              N/A              N/A
   5.30259150e+03              N/A              N/A              N/A              N/A
   5.30279150e+03              N/A              N/A              N/A              N/A
   5.30299150e+03              N/A              N/A              N/A              N/A
   5.30319150e+03              N/A              N/A              N/A              N/A
   5.30339150e+03              N/A              N/A              N/A              N/A
   5.30359150e+03              N/A              N/A              N/A              N/A
   5.30379150e+03              N/A              N/A              N/A              N/A
   5.30399150e+03              N/A              N/A              N/A              N/A
   5.30419150e+03              N/A              N/A              N/A              N/A
   5.30439150e+03              N/A              N/A              N/A              N/A
   5.30459150e+03              N/A              N/A              N/A              N/A
   5.30479150e+03              N/A              N/A              N/A              N/A
   5.30499150e+03              N/A              N/A              N/A              N/A
   5.30519150e+03              N/A              N/A              N/A              N/A
   5.30539150e+03              N/A              N/A              N/A              N/A
   5.30559150e+03              N/A              N/A              N/A              N/A
   5.30579150e+03              N/A              N/A              N/A              N/A
   5.30599150e+03              N/A              N/A              N/A              N/A
   5.30619150e+03              N/A              N/A              N/A              N/A
   5.30639150e+03              N/A              N/A              N/A              N/A
   5.30659150e+03              N/A              N/A              N/A              N/A
   5.30679150e+03              N/A              N/A              N/A              N/A
   5.30699150e+03              N/A              N/A              N/A              N/A
   5.30719150e+03              N/A              N/A              N/A              N/A
   5.30739150e+03              N/A              N/A              N/A              N/A
   5.30759150e+03              N/A              N/A              N/A              N/A
   5.30779150e+03              N/A              N/A              N/A              N/A
   5.30799150e+03              N/A              N/A              N/A              N/A
   5.30819150e+03              N/A              N/A              N/A              N/A
   5.30839150e+03              N/A              N/A              N/A              N/A
   5.30859150e+03              N/A              N/A              N/A              N/A
   5.30879150e+03              N/A              N/A              N/A              N/A
   5.30899150e+03              N/A              N/A              N/A              N/A
   5.30919150e+03              N/A              N/A              N/A              N/A
   5.30939150e+03              N/A              N/A              N/A              N/A
   5.30959150e+03              N/A              N/A              N/A              N/A
   5.30979150e+03              N/A              N/A              N/A              N/A
   5.30999150e+03              N/A              N/A              N/A              N/A
   5.31019150e+03              N/A              N/A              N/A              N/A
   5.31039150e+03              N/A              N/A              N/A              N/A
   5.31059150e+03              N/A              N/A              N/A              N/A
   5.31079150e+03              N/A              N/A              N/A              N/A
   5.31099150e+03              N/A              N/A              N/A              N/A
   5.31119150e+03              N/A              N/A              N/A              N/A
   5.31139150e+03              N/A              N/A              N/A              N/A
   5.31159150e+03              N/A              N/A              N/A              N/A
   5.31179150e+03              N/A              N/A              N/A              N/A
   5.31199150e+03              N/A              N/A              N/A              N/A
   5.31219150e+03              N/A              N/A              N/A              N/A
   5.31239150e+03              N/A              N/A              N/A              N/A
   5.31259150e+03              N/A              N/A              N/A              N/A
   5.31279150e+03              N/A              N/A              N/A              N/A
   5.31299150e+03              N/A              N/A              N/A              N/A
   5.31319150e+03              N/A              N/A              N/A              N/A
   5.31339150e+03              N/A              N/A              N/A              N/A
   5.31359150e+03              N/A              N/A              N/A              N/A
   5.31379150e+03              N/A              N/A              N/A              N/A
   5.31399150e+03              N/A              N/A              N/A              N/A
   5.31419150e+03              N/A              N/A              N/A              N/A
   5.31439150e+03              N/A              N/A              N/A              N/A
   5.31459150e+03              N/A              N/A              N/A              N/A
   5.31479150e+03              N/A              N/A              N/A              N/A
   5.31499150e+03              N/A              N/A              N/A              N/A
   5.31519150e+03              N/A              N/A              N/A              N/A
   5.31539150e+03              N/A              N/A              N/A              N/A
   5.31559150e+03              N/A              N/A              N/A              N/A
   5.31579150e+03              N/A              N/A              N/A              N/A
   5.31599150e+03              N/A              N/A              N/A              N/A
   5.31619150e+03              N/A              N/A              N/A              N/A
   5.31639150e+03              N/A              N/A              N/A              N/A
   5.31659150e+03              N/A              N/A              N/A              N/A
   5.31679150e+03              N/A              N/A              N/A              N/A
   5.31699150e+03              N/A              N/A              N/A              N/A
   5.31719150e+03              N/A              N/A              N/A              N/A
   5.31739150e+03              N/A              N/A              N/A              N/A
   5.31759150e+03              N/A              N/A              N/A              N/A
   5.31779150e+03              N/A              N/A              N/A              N/A
