begin HEADER
  File_ID = "Aerosol Profile"
  File_Creation = Tue Mar 25 18:35:26 2008
  File_Type = "Matrix"
  Num_Rows =       40
  Num_Columns = 10
  Retrieval_Mode = logarithmic
  Labels = "Pressure" "Low_005" "Mid_005" "High_005" "Low1_005" "Mid1_005" "High1_005" "Low2_005" "Mid2_005" "High2_005"
end HEADER
#       Pressure         Low_005         Mid_005        High_005        Low1_005        Mid1_005       High1_005        Low2_005        Mid2_005       High2_005
       100.00000      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776
       3000.0000      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776
       5000.0000      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776
       7000.0000      -34.538776      -34.538776      -23.189521      -34.538776      -34.538776      -23.189521      -34.538776      -34.538776      -23.189521
       8500.0000      -23.525916      -36.779303      -20.743855      -23.525916      -36.779303      -20.743855      -23.525916      -36.779303      -20.743855
       10000.000      -22.916470      -33.487476      -18.990705      -22.916470      -33.487476      -18.990705      -22.916470      -33.487476      -18.990705
       15000.000      -21.395976      -26.442828      -15.784874      -21.395976      -26.442828      -15.784874      -21.395976      -26.442828      -15.784874
       20000.000      -20.317168      -22.455953      -14.521682      -20.317168      -22.455953      -14.521682      -20.317168      -22.455953      -14.521682
       24000.000      -19.633462      -20.363855      -14.155748      -19.633462      -20.363855      -14.155748      -19.633462      -20.363855      -14.155748
       28000.000      -19.055397      -18.858082      -14.109425      -19.055397      -18.858082      -14.109425      -19.055397      -18.858082      -14.109425
       31500.000      -18.613711      -17.870006      -14.236482      -18.613711      -17.870006      -14.236482      -18.613711      -17.870006      -14.236482
       35000.000      -18.218609      -17.105387      -14.469383      -18.218609      -17.105387      -14.469383      -18.218609      -17.105387      -14.469383
       37500.000      -17.959886      -16.665705      -14.682904      -17.959886      -16.665705      -14.682904      -17.959886      -16.665705      -14.682904
       40000.000      -17.717866      -16.298121      -14.926350      -17.717866      -16.298121      -14.926350      -17.717866      -16.298121      -14.926350
       42500.000      -17.490524      -15.991314      -15.193518      -17.490524      -15.991314      -15.193518      -17.490524      -15.991314      -15.193518
       45000.000      -17.276180      -15.736195      -15.479557      -17.276180      -15.736195      -15.479557      -17.276180      -15.736195      -15.479557
       47500.000      -17.073428      -15.525374      -15.780628      -17.073428      -15.525374      -15.780628      -17.073428      -15.525374      -15.780628
       50000.000      -16.881078      -15.352780      -16.093662      -16.881078      -15.352780      -16.093662      -16.881078      -15.352780      -16.093662
       52500.000      -16.698115      -15.213375      -16.416188      -16.698115      -15.213375      -16.416188      -16.698115      -15.213375      -16.416188
       55000.000      -16.523665      -15.102945      -16.746194      -16.523665      -15.102945      -16.746194      -16.523665      -15.102945      -16.746194
       57500.000      -16.356971      -15.017935      -17.082040      -16.356971      -15.017935      -17.082040      -16.356971      -15.017935      -17.082040
       60000.000      -16.197372      -14.955326      -17.422372      -16.197372      -14.955326      -17.422372      -16.197372      -14.955326      -17.422372
       62500.000      -16.044290      -14.912537      -17.766073      -16.044290      -14.912537      -17.766073      -16.044290      -14.912537      -17.766073
       65000.000      -15.897212      -14.887349      -18.112214      -15.897212      -14.887349      -18.112214      -15.897212      -14.887349      -18.112214
       67500.000      -15.755686      -14.877843      -18.460022      -15.755686      -14.877843      -18.460022      -15.755686      -14.877843      -18.460022
       70000.000      -15.619307      -14.882353      -18.808850      -15.619307      -14.882353      -18.808850      -15.619307      -14.882353      -18.808850
       72500.000      -15.487715      -14.899424      -19.158153      -15.487715      -14.899424      -19.158153      -15.487715      -14.899424      -19.158153
       75000.000      -15.360584      -14.927778      -19.507477      -15.360584      -14.927778      -19.507477      -15.360584      -14.927778      -19.507477
       77500.000      -15.237622      -14.966294      -19.856437      -15.237622      -14.966294      -19.856437      -15.237622      -14.966294      -19.856437
       80000.000      -15.118564      -15.013980      -20.204709      -15.118564      -15.013980      -20.204709      -15.118564      -15.013980      -20.204709
       82500.000      -15.003171      -15.069956      -20.552022      -15.003171      -15.069956      -20.552022      -15.003171      -15.069956      -20.552022
       85000.000      -14.891222      -15.133440      -20.898144      -14.891222      -15.133440      -20.898144      -14.891222      -15.133440      -20.898144
       87500.000      -14.782519      -15.203735      -21.242884      -14.782519      -15.203735      -21.242884      -14.782519      -15.203735      -21.242884
       90000.000      -14.676878      -15.280216      -21.586078      -14.676878      -15.280216      -21.586078      -14.676878      -15.280216      -21.586078
       92500.000      -14.574132      -15.362324      -21.927591      -14.574132      -15.362324      -21.927591      -14.574132      -15.362324      -21.927591
       95000.000      -14.474126      -15.449555      -22.267309      -14.474126      -15.449555      -22.267309      -14.474126      -15.449555      -22.267309
       97500.000      -14.376718      -15.541456      -22.605138      -14.376718      -15.541456      -22.605138      -14.376718      -15.541456      -22.605138
       100000.00      -14.281776      -15.637617      -22.941000      -14.281776      -15.637617      -22.941000      -14.281776      -15.637617      -22.941000
       102500.00      -14.189179      -15.737666      -23.274831      -14.189179      -15.737666      -23.274831      -14.189179      -15.737666      -23.274831
       105000.00      -14.098813      -15.841268      -23.606581      -14.098813      -15.841268      -23.606581      -14.098813      -15.841268      -23.606581
