begin HEADER
  File_ID = "Aerosol Perturbations"
  File_Creation = "Tue Apr 25 12:15:16 PDT 2006"
  File_Type = "Matrix"
  Num_Rows = 12
  Num_Columns = 8
  Labels = "Pressure" "STRAT" "TROP_0" "TROP_001" "TROP_005" "TROP_01" "TROP_02" "TROP_03"
end HEADER

# Pressure         STRAT      TROP_0       TROP_001        TROP_005         TROP_01         TROP_02          TROP_03
   100.000   1.00000E-22   1.000E-22  1.0260272E-33  5.13013614E-33  1.02602723E-32  2.05205446E-32  3.078081685E-32
   7000.00   3.20765E-11   1.000E-22  1.0260272E-33  5.13013614E-33  1.02602723E-32  2.05205446E-32  3.078081685E-32
   10000.0   2.04564E-11   1.000E-22  1.0260272E-33  5.13013614E-33  1.02602723E-32  2.05205446E-32  3.078081685E-32
   20000.0   2.35845E-11   1.000E-22  6.4437587E-11  3.22187933E-10  6.44375867E-10  1.28875173E-09  1.933127600E-09
   35000.0   0.00000E+00   1.000E-22  1.3673577E-10  6.83678848E-10  1.36735770E-09  2.73471539E-09  4.102073089E-09
   45000.0   0.00000E+00   1.000E-22  2.1962814E-10  1.09814072E-09  2.19628143E-09  4.39256286E-09  6.588844290E-09
   55000.0   0.00000E+00   1.000E-22  4.0318358E-10  2.01591789E-09  4.03183578E-09  8.06367156E-09  1.209550734E-08
   65000.0   0.00000E+00   1.000E-22  7.2283603E-10  3.61418013E-09  7.22836026E-09  1.44567205E-08  2.168508077E-08
   75000.0   0.00000E+00   1.000E-22  1.2617465E-09  6.30873254E-09  1.26174651E-08  2.52349302E-08  3.785239524E-08
   85000.0   0.00000E+00   1.000E-22  1.9999047E-09  9.99952332E-09  1.99990466E-08  3.99980933E-08  5.999713991E-08
   95000.0   0.00000E+00   1.000E-22  2.9980108E-09  1.49900542E-08  2.99801085E-08  5.99602170E-08  8.994032543E-08
   105000.   0.00000E+00   1.000E-22  4.2864471E-09  2.14322354E-08  4.28644708E-08  8.57289416E-08  1.285934123E-07
